word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos
de,DET,B1,beacco,1389.8474,1276.617,1215.0058,1014.4307,1389.8474,1169.9976,1331.785,1960.4454,1276.617,0.4856,8.399,14.3676,31.2325,56.8202,112.15,24.2824,B1,word_pos,de,DET,de,DET:ART
faillir,VERB,B1,beacco,1175.3547,1177.6853,1404.6789,1303.5606,1175.3547,962.2439,1062.2642,582.4811,1177.6853,0.0,8.7497,0.4317,1.3018,0.0,19.328,4.0506,B1,word_pos,faillir,V,faillir,VER
dont,PRON,B1,beacco,549.351,411.0555,0.3158,92.8074,549.351,657.071,803.7912,1453.9339,411.0555,0.6291,100.419,465.5178,570.7287,842.1925,1318.9585,382.9654,B1,word_pos,dont,PRO,dont,PRO
que,ADV,B1,beacco,301.2712,259.6567,63.1072,216.1701,301.2712,297.8922,326.4441,421.6204,259.6567,0.6291,39.448,112.9278,114.8293,138.4002,77.4712,83.0147,B1,word_pos,que,ADV,que,ADV
public,ADJ,B1,beacco,238.7499,210.0545,6.5353,17.4887,238.7499,246.5087,499.3472,769.9376,210.0545,0.8075,14.8728,124.0248,70.6284,317.7089,135.3747,97.9924,B1,word_pos,public,A,public,ADJ
public,NOUN,B1,beacco,225.5215,112.1747,0.0,44.6871,225.5215,57.3723,222.6387,115.0793,112.1747,0.0,45.544,233.7259,51.6459,282.3932,230.3781,125.6645,B1,word_pos,public,N,public,NOM
avenir,NOUN,B1,beacco,212.4348,145.7233,8.5726,126.7534,212.4348,148.9208,194.0786,83.6785,145.7233,1.1123,109.6591,146.0618,90.2515,180.777,93.687,110.2962,B1,word_pos,avenir,N,avenir,NOM
-ci,ADV,B1,beacco,210.1782,186.2201,,,,,,,,0.8346,198.0576,210.1782,223.4478,297.6957,154.624,186.2201,B1,beacco_only,,,-ci,ADV
regard,NOUN,B1,beacco,191.8784,156.6113,17.8784,166.5318,191.8784,241.3223,173.2703,9.6228,156.6113,7.3735,140.1896,163.0894,239.1139,171.3895,19.328,141.5148,B1,word_pos,regard,N,regard,NOM
puisque,CONJ,B1,beacco,183.3747,130.024,5.2789,61.912,183.3747,281.6022,111.7563,126.4605,130.024,7.2908,35.9022,79.6,175.603,80.0959,56.7717,76.6627,B1,word_pos,puisque,CONJS,puisque,KON
mouvement,NOUN,B1,beacco,180.5433,101.1587,9.3536,32.9274,180.5433,65.7105,205.4336,48.0277,101.1587,7.2908,33.2339,169.3101,80.4044,215.3928,56.7717,102.1698,B1,word_pos,mouvement,N,mouvement,NOM
remettre,VERB,B1,beacco,177.8376,102.0943,0.5025,67.1217,177.8376,147.7607,57.7841,48.0277,102.0943,0.6291,78.4305,205.9928,153.2357,76.6769,56.7717,116.8434,B1,word_pos,remettre,V,remettre,VER
état,NOUN,B1,beacco,176.9333,175.7865,11.64,127.0337,176.9333,105.0577,498.772,304.8448,175.7865,7.5967,109.2847,98.353,43.6762,434.2873,206.3501,122.9521,B1,word_pos,état,N,état,NOM
attirer,VERB,B1,beacco,171.3309,107.8778,4.0247,66.3101,171.3309,206.9189,78.2735,19.4814,107.8778,1.1764,62.0046,139.1574,124.4968,88.3167,25.6659,86.4715,B1,word_pos,attirer,V,attirer,VER
chef,NOUN,B1,beacco,165.4717,125.6495,0.2541,122.2282,165.4717,159.7396,84.3776,243.7473,125.6495,0.9051,135.2796,182.343,204.5671,40.6321,208.1843,131.2962,B1,word_pos,chef,N,chef,NOM
foule,NOUN,B1,beacco,154.9071,41.5593,0.7967,0.3469,154.9071,6.6199,18.6069,0.0,41.5593,1.6691,0.7079,171.1125,9.5296,18.0014,0.0,47.1086,B1,word_pos,foule,N,foule,NOM
politique,NOUN,B1,beacco,148.3406,153.3079,1.005,16.439,148.3406,97.405,503.036,705.713,153.3079,0.9051,24.3036,95.0799,58.9523,349.622,277.2274,103.73,B1,word_pos,politique,N,politique,NOM
action,NOUN,B1,beacco,147.8856,105.4151,1.3242,20.7176,147.8856,104.309,255.2565,213.6675,105.4151,1.2635,21.2432,127.8568,92.7962,344.1439,173.1709,105.6987,B1,word_pos,action,N,action,NOM
médaille,NOUN,B1,beacco,145.6553,165.365,42.2194,151.9705,145.6553,136.4634,290.2849,169.1042,165.365,0.0,49.6464,5.1436,0.0,0.0,12.833,12.478,B1,word_pos,médaille,N,médaille,NOM
assurer,VERB,B1,beacco,144.498,109.3971,0.4014,34.6702,144.498,116.7769,237.4294,415.1184,109.3971,0.7319,30.9657,128.0901,115.2526,239.7132,374.8543,103.4754,B1,word_pos,assurer,V,assurer,VER
plupart,NOUN,B1,beacco,143.454,99.7524,0.5025,48.6565,143.454,91.9076,199.3281,119.7316,99.7524,0.9051,51.7991,140.7146,106.6242,257.1513,174.5002,108.3641,B1,word_pos,plupart,N,plupart,NOM
adresser,VERB,B1,beacco,142.369,91.6025,0.0,110.3575,142.369,85.5857,32.7469,96.9035,91.6025,0.0,89.6519,135.6924,64.9101,40.0479,86.9662,79.2959,B1,word_pos,adresser,V,adresser,VER
importer,VERB,B1,beacco,140.7804,83.7709,0.0,43.6907,140.7804,126.2449,89.1209,55.0502,83.7709,0.0,43.906,125.5703,137.1935,112.8614,131.2856,84.3123,B1,word_pos,importer,V,importer,VER
pouvoir,NOUN,B1,beacco,139.2259,109.1532,7.6622,37.7274,139.2259,47.567,181.0823,561.2079,109.1532,7.1602,63.2503,150.7366,95.9443,197.0345,402.4391,119.7392,B1,word_pos,pouvoir,N,pouvoir,NOM
obtenir,VERB,B1,beacco,137.7342,101.319,2.2771,36.9138,137.7342,80.5925,168.7751,407.748,101.319,1.1764,60.7726,155.8407,57.9594,266.4547,504.8167,123.0933,B1,word_pos,obtenir,V,obtenir,VER
d'ailleurs,ADV,B1,beacco,135.7193,121.9952,,,,,,,,7.37,24.0478,135.7193,213.2635,268.1292,319.5546,121.9952,B1,beacco_only,,,d'ailleurs,ADV
charger,VERB,B1,beacco,135.5523,81.1917,13.5134,46.7324,135.5523,39.4212,159.0056,28.5334,81.1917,3.6596,45.3308,104.8135,46.0535,183.0858,56.7717,75.4802,B1,word_pos,charger,V,charger,VER
professionnel,ADJ,B1,beacco,134.2489,108.7353,0.3265,172.2016,134.2489,72.5263,31.2327,347.5614,108.7353,0.171,149.0663,113.0603,80.256,51.4303,479.6306,107.607,B1,word_pos,professionnel,A,professionnel,ADJ
