序号,法语词条,原书页码
1,à l'improviste,159
2,à part,159
3,à priori,159
4,à travers,159
5,abandon,159
6,abandonner,159
7,abattre (s'),159
8,aborder,159
9,saborder,159
10,abouti(e),159
11,accessible,159
12,accordéon,159
13,accrocher (s’),159
14,acquérir,159
15,acquisition,159
16,adapter,159
17,adieu,159
18,administratif(ve),159
19,admis(e),159
20,adolescente,159
21,adoption,159
22,adresser (s’),159
23,affairer(s'),159
24,affirmer,159
25,agglutiner (s),159
26,agitée,159
27,aîné(e),159
28,air,159
29,ajouter,159
30,alimentaire,159
31,allègement,159
32,allier,159
33,allongement,159
34,alors que,159
35,"amateur,trice",159
36,Amazonie,159
37,ambiance,159
38,"ambitieux,se",159
39,âme sœur,159
40,améliorer,159
41,amende,159
42,ancrer,159
43,annuelle,159
44,anticiper,159
45,apercevoir (s’),159
46,apparition,159
47,appartenir (à),159
48,appel,159
49,appliquée,159
50,apporter,159
51,apprécier (s'),159
52,apprentissage,159
53,après tout,159
54,arboré(e),159
55,arroser,159
56,article,159
57,artisanale,159
58,asiatique,159
59,aspirer (à),159
60,assaut,159
61,assise,159
62,assumer,159
63,assurance,159
64,assurer (que),159
65,atomique,159
66,"attaché,e",159
67,attaquer (s’),159
68,attendre (s’),159
69,attractif(ve),159
70,atypique,159
71,au-delà de,159
72,dei nûS 2,160
73,autrement,160
74,avancée,160
75,"avantageux,se",160
76,avouer,160
77,baby-sitter,160
78,"bachelier,ère",160
79,background,160
80,baguette,160
81,Bahamas,160
82,balayer,160
83,ballon,160
84,bande,160
85,bâtiment,160
86,batteur(euse),160
87,battre,160
88,battre les blancs en neige,160
89,battre (se),160
90,Beaujeu,160
91,beaujolais,160
92,bénévolement,160
93,beurrer,160
94,bien,160
95,bilan,160
96,biologique,160
97,blanc,160
98,blanchâtre,160
99,blanc,160
100,boîte,160
101,bombe,160
102,bordeaux,160
103,"Bordelais,e",160
104,bosser,160
105,"bougon,ne",160
106,bourgogne,160
107,branchée,160
108,bras,160
109,brasserie,160
110,brume,160
111,bureaucratie,160
112,cafard,160
113,caisse,160
114,calculer,160
115,"campagnard,e",160
116,camper,160
117,camping,160
118,candidature,160
119,cantine,160
120,cap,160
121,capable,160
122,"captif,ve",160
123,carnet,160
124,carrelage,160
125,casser,160
126,casserole,160
127,catalogue,160
128,caution,160
129,se porte caution pour qn,160
130,célébrer,160
131,célibat,160
132,cependant,160
133,cérémonie,160
134,certes,160
135,cesse,160
136,chaleur,160
137,chantier,160
138,charge,160
139,chef,160
140,chérie,160
141,chic,160
142,chirurgie,160
143,chrono,160
144,circulation,161
145,"citoyen,ne",161
146,civile,161
147,clarinette,161
148,clash,161
149,clé / clef,161
150,cliché,161
151,clientèle,161
152,en d'œil,161
153,cœur,161
154,collaboration,161
155,collaborer (à),161
156,collective,161
157,cabine,161
158,colocataire,161
159,colocation,161
160,co-louer,161
161,commission,161
162,compagnon,161
163,comparable,161
164,comparée à,161
165,compétence,161
166,compétente,161
167,complètement,161
168,complicité,161
169,comporter (se),161
170,composer,161
171,comprendre,161
172,compter,161
173,comptoir,161
174,conception,161
175,concerner,161
176,concilier,161
177,conclusion,161
178,Concours,161
179,"conçu,e",161
180,conduire,161
181,confession,161
182,confier,161
183,confondue,161
184,conforme (à),161
185,confort,161
186,confronter,161
187,conjuguer,161
188,conquérir,161
189,"consacré,e",161
190,consacrer,161
191,se consacrer (à),161
192,"consécutif,ve",161
193,conséquent(e),161
194,conservatoire,161
195,conserver,161
196,considérer ... comme,161
197,consigne,161
198,"consommateur, trice",161
199,constater,161
200,construire,161
201,consultable,161
202,consultante,161
203,contact,161
204,contenir,161
205,contradictoire,161
206,contraire,161
207,au contraire,161
208,contribuer (à),161
209,convenir (à),161
210,conviviale,161
211,convoiter,161
212,coordinateur(trice),161
213,coordonnées,161
214,cordialement,161
215,coréaliser,161
216,cosy,161
217,côtoyer,161
218,retourner,162
219,coude,162
220,cour,162
221,cours,162
222,au cours de + n.,162
223,course,162
224,covoiturage,162
225,cracher,162
226,craquant(e),162
227,crier,162
228,critère,162
229,critique,162
230,croiser,162
231,se croiser,162
232,cru(e),162
233,cube,162
234,cuisine,162
235,epiinaite,162
236,curieux(se),162
237,davantage,162
238,début,162
239,déchet,162
240,décoiffer,162
241,décorer,162
242,défini(e),162
243,délivrer(se),162
244,demande,162
245,démarche,162
246,démarrer,162
247,déménagement,162
248,départemental,162
249,dérasser,162
250,dérendie (de),162
251,dagiorer,162
252,ès,162
253,désirer,162
254,disparaître,162
255,dessiner,162
256,dessus,162
257,deux-pièces,162
258,discipline,162
259,discrimination,162
260,discriminer,162
261,distinguer,162
262,diverse,162
263,doigt,162
264,domicile,162
265,à domicile,162
266,don,162
267,donner(se),162
268,dose,162
269,dossier,162
270,doucement,162
271,draguer,162
272,dresser(se),162
273,droit,162
274,"dû, due",162
275,duo,162
276,durable,162
277,durant,162
278,durër,162
279,éblouissant(e),162
280,échapper (à),162
281,écho,162
282,éclat,162
283,échelle,162
284,effectivement,162
285,effectuer is),162
286,égalité,162
287,équerre,162
288,église,162
289,élaboration,162
290,éloignement,162
291,s'éloigner,162
292,émailler,162
293,s'emparer(s'),163
294,emplacement,163
295,emporter,163
296,er effet,163
297,en particulier,163
298,en priorité,163
299,en revanche,163
300,encadrer,163
301,enchaîner,163
302,encombrer(s'),163
303,encourager,163
304,enrichir,163
305,"enrichissant,e",163
306,enseigne,163
307,enseignement,163
308,s'entendre (avec qn),163
309,enthousiaste,163
310,entourer,163
311,entreprendre,163
312,envers,163
313,environs,163
