word,pos,assigned_cefr,level_source,assigned_level_frequency,total_frequency,crf_A1,crf_A2,crf_B1,crf_B2,crf_C1,crf_C2,crf_total,beacco_A1,beacco_A2,beacco_B1,beacco_B2,beacco_C1,beacco_C2,beacco_total,beacco_level,match_method,crf_word,crf_pos,beacco_word,beacco_pos,normalized_word,normalized_pos,crf_source_row,beacco_source_row
parures,NOUN,B1,crf_first_attested,2.5348,1.2225,0.0,0.0,2.5348,0.0,6.2023,0.0,1.2225,,,,,,,,,crf_only,parures,N,,,parures,NOUN,11738,
sous terre,ADV,B1,crf_first_attested,2.5303,0.4748,0.0,0.0,2.5303,0.0,0.0,0.0,0.4748,,,,,,,,,crf_only,sous terre,ADV,,,sous terre,ADV,15048,
imaginaire,NOUN,B1,crf_first_attested,2.5211,3.4139,0.0,0.0,2.5211,1.1509,21.8856,0.0,3.4139,,,,,,,,,crf_only,imaginaire,N,,,imaginaire,NOUN,8198,
militaire,NOUN,B1,crf_first_attested,2.5199,2.2322,0.0,0.0,2.5199,0.5285,9.3035,0.0,2.2322,,,,,,,,,crf_only,militaire,N,,,militaire,NOUN,10197,
travailleur,ADJ,B1,beacco,2.4969,4.7394,0.5304,3.2088,2.4969,0.6707,0.0,0.0,4.7394,0.0,6.2771,3.1011,3.5867,0.0,0.0,4.22,B1,word_pos,travailleur,A,travailleur,ADJ,travailleur,ADJ,16126,13071.0
meuble,NOUN,B1,beacco,2.492,22.9193,0.8841,54.8762,2.492,54.6906,4.8126,0.0,22.9193,0.9121,55.4232,4.9896,55.8409,10.3269,0.0,26.8661,B1,word_pos,meuble,N,meuble,NOM,meuble,NOUN,10132,8043.0
boucher,VERB,B1,beacco,2.492,7.254,0.0,14.201,2.492,15.5411,0.0,0.0,7.254,0.0,6.3347,4.9896,11.0661,0.0,0.0,6.7895,B1,word_pos,boucher,V,boucher,VER,boucher,VERB,2043,1560.0
dedans,ADV,B1,beacco,2.492,0.9571,0.0,0.285,2.492,0.0,0.0,0.0,0.9571,2.5271,4.4416,7.7482,0.0,6.0005,0.0,7.8895,B1,word_pos,dedans,ADV,dedans,ADV,dedans,ADV,4529,3576.0
à mesure que,CONJ,B1,crf_first_attested,2.4732,4.5175,0.0,0.0,2.4732,9.0831,0.0,64.3237,4.5175,,,,,,,,,crf_only,à mesure que,CONJS,,,à mesure que,CONJ,17271,
commande,NOUN,B1,beacco,2.4678,7.0769,0.0,18.5635,2.4678,1.5139,6.4168,0.0,7.0769,0.0,10.4031,12.3117,18.0886,41.1274,56.7717,13.8963,B1,word_pos,commande,N,commande,NOM,commande,NOUN,3340,2657.0
de plein fouet,ADV,B1,crf_first_attested,2.4678,0.4503,0.0,0.0,2.4678,0.0,0.0,0.0,0.4503,,,,,,,,,crf_only,de plein fouet,ADV,,,de plein fouet,ADV,4496,
issus,VERB,B1,crf_first_attested,2.4677,4.713,0.0,0.0,2.4677,0.0,45.7939,19.2455,4.713,,,,,,,,,crf_only,issus,V,,,issus,VERB,8972,
ailler,VERB,B1,beacco,2.4519,10.6133,,,,,,,,7.0583,10.0751,2.4519,23.51,0.0,0.0,10.6133,B1,beacco_only,,,ailler,VER,ailler,VERB,,346.0
calmer,VERB,B1,beacco,2.4473,11.8469,5.6815,12.3694,2.4473,0.8949,4.101,12.9876,11.8469,7.2445,22.9902,13.4389,13.727,4.139,12.833,21.4199,B1,word_pos,calmer,V,calmer,VER,calmer,VERB,2416,1878.0
violemment,ADV,B1,beacco,2.4434,4.2415,0.0,11.9187,2.4434,0.5285,0.0,0.0,4.2415,0.0,9.8901,3.4682,0.8102,0.0,0.0,4.6861,B1,word_pos,violemment,ADV,violemment,ADV,violemment,ADV,16869,13566.0
dehors,NOUN,B1,beacco,2.4418,4.5044,0.0,0.0,2.4418,9.4042,6.2023,28.8683,4.5044,7.2987,14.0984,50.557,44.8329,27.9938,56.7717,37.3371,B1,word_pos,dehors,N,dehors,NOM,dehors,NOUN,4537,3580.0
caresse,NOUN,B1,beacco,2.4351,4.4517,2.0071,3.5298,2.4351,1.1509,0.0,0.0,4.4517,1.4639,4.6417,1.2756,0.911,0.0,0.0,4.0507,B1,word_pos,caresse,N,caresse,NOM,caresse,NOUN,2558,2003.0
paresseux,ADJ,B1,beacco,2.4219,4.0675,1.1385,5.7565,2.4219,0.7062,0.0,0.0,4.0675,1.1764,4.7285,4.9091,0.0,0.0,0.0,4.1702,B1,word_pos,paresseux,A,paresseux,ADJ,paresseux,ADJ,11666,9227.0
ouest,ADJ,B1,beacco,2.4107,2.9495,0.0,8.1219,2.4107,0.0,0.0,0.0,2.9495,0.0,1.2017,3.338,1.2705,0.0,0.0,3.0848,B1,word_pos,ouest,A,ouest,ADJ,ouest,ADJ,11393,9053.0
cochon,ADJ,B1,crf_first_attested,2.4017,0.4405,0.0,0.0,2.4017,0.0,0.0,0.0,0.4405,,,,,,,,,crf_only,cochon,A,,,cochon,ADJ,3211,
propre,NOUN,B1,crf_first_attested,2.4003,0.4311,0.0,0.0,2.4003,0.0,0.0,0.0,0.4311,,,,,,,,,crf_only,propre,N,,,propre,NOUN,12766,
brûlant,ADJ,B1,beacco,2.3904,2.412,0.0,1.8101,2.3904,4.5416,0.0,0.0,2.412,0.0,3.5076,3.4715,2.2839,0.0,0.0,2.959,B1,word_pos,brûlant,A,brûlant,ADJ,brûlant,ADJ,2253,1748.0
matériel,ADJ,B1,beacco,2.3843,9.8255,0.2541,6.4856,2.3843,6.7049,27.9104,0.0,9.8255,0.5504,16.0988,6.2912,14.1801,40.6321,19.328,15.9267,B1,word_pos,matériel,A,matériel,ADJ,matériel,ADJ,10033,7950.0
fantaisie,NOUN,B1,beacco,2.3806,4.8429,0.2652,4.8012,2.3806,0.0,3.2084,0.0,4.8429,0.4856,4.7328,7.4124,0.0,6.8846,0.0,6.5437,B1,word_pos,fantaisie,N,fantaisie,NOM,fantaisie,NOUN,6663,5107.0
argenter,VERB,B1,crf_first_attested,2.3793,0.4648,0.0,0.0,2.3793,0.0,0.0,0.0,0.4648,,,,,,,,,crf_only,argenter,V,,,argenter,VERB,929,
mouiller,VERB,B1,beacco,2.3781,2.6646,0.0,4.2109,2.3781,0.8949,0.0,0.0,2.6646,0.0,8.2553,6.1936,17.1323,6.0005,0.0,9.4252,B1,word_pos,mouiller,V,mouiller,VER,mouiller,VERB,10487,8335.0
au plus vite,ADV,B1,crf_first_attested,2.3658,0.3492,0.0,0.0,2.3658,0.0,0.0,0.0,0.3492,,,,,,,,,crf_only,au plus vite,ADV,,,au plus vite,ADV,1288,
ultrasélectif,ADJ,B1,crf_first_attested,2.3658,0.3492,0.0,0.0,2.3658,0.0,0.0,0.0,0.3492,,,,,,,,,crf_only,ultrasélectif,A,,,ultrasélectif,ADJ,16527,
à la manière de,PREP,B1,crf_first_attested,2.3658,0.3492,0.0,0.0,2.3658,0.0,0.0,0.0,0.3492,,,,,,,,,crf_only,à la manière de,PREP,,,à la manière de,PREP,17248,
en signe de,PREP,B1,crf_first_attested,2.3331,0.2148,0.0,0.0,2.3331,0.0,0.0,0.0,0.2148,,,,,,,,,crf_only,en signe de,PREP,,,en signe de,PREP,5999,
l1,NOUN,B1,crf_first_attested,2.3331,0.2148,0.0,0.0,2.3331,0.0,0.0,0.0,0.2148,,,,,,,,,crf_only,l1,N,,,l1,NOUN,9248,
troupes,NOUN,B1,crf_first_attested,2.3294,3.3101,0.0,0.0,2.3294,1.1509,11.2294,0.0,3.3101,,,,,,,,,crf_only,troupes,N,,,troupes,NOUN,16243,
flots,NOUN,B1,crf_first_attested,2.3197,0.4146,0.0,0.0,2.3197,0.0,0.0,0.0,0.4146,,,,,,,,,crf_only,flots,N,,,flots,NOUN,6919,
arène,NOUN,B1,beacco,2.3103,8.8307,0.9991,8.4559,2.3103,12.0033,0.0,0.0,8.8307,0.9464,6.9599,2.3312,8.4014,0.0,0.0,8.036,B1,word_pos,arène,N,arène,NOM,arène,NOUN,1020,845.0
corrida,NOUN,B1,beacco,2.3103,4.734,0.0,1.9582,2.3103,2.1187,0.0,0.0,4.734,0.0,3.591,3.73,1.2705,0.0,0.0,5.94,B1,word_pos,corrida,N,corrida,NOM,corrida,NOUN,3944,3185.0
récompense,NOUN,B1,beacco,2.2449,8.4059,0.3158,3.1687,2.2449,27.3171,12.4046,0.0,8.4059,0.6291,4.9127,3.8148,24.8505,12.0009,0.0,9.53,B1,word_pos,récompense,N,récompense,NOM,récompense,NOUN,14114,11392.0
lingère,NOUN,B1,crf_first_attested,2.2446,0.2066,0.0,0.0,2.2446,0.0,0.0,0.0,0.2066,,,,,,,,,crf_only,lingère,N,,,lingère,NOUN,9459,
troupe,NOUN,B1,beacco,2.2128,3.4414,0.0,4.6356,2.2128,1.4125,0.0,0.0,3.4414,0.0,4.8004,12.8417,12.6911,6.8846,0.0,10.6468,B1,word_pos,troupe,N,troupe,NOM,troupe,NOUN,16241,13171.0
privé,NOUN,B1,crf_first_attested,2.1981,4.2639,0.0,0.0,2.1981,1.6517,15.7275,38.491,4.2639,,,,,,,,,crf_only,privé,N,,,privé,NOUN,12637,
